"time_id","net_sentiment","normalized_sentiment"
"201607121004",-4,11
"201607260538",-4,11
"201607300553",6,21
"201609060412",-7,8
"201609250530",-3,12
"201609261823",-3,12
"201611160517",-2,13
"201612040521",-3,12
"201612041523",-1,14
"201612170657",-1,14
"201701021647",6,21
"201701260651",-2,13
"201701270619",0,15
"201702032007",-2,13
"201702100635",-5,10
"201702160434",8,23
"201703020400",4,19
"201703150514",-1,14
"201703170607",-2,13
"201703301418",-1,14
"201703301420",-1,14
"201703301516",-1,14
"201704080750",3,18
"201704110459",1,16
"201704110503",-1,14
"201704110559",3,18
"201704120522",-2,13
"201704130608",2,17
"201704210604",2,17
"201704260351",-3,12
"201704281626",-1,14
"201705120620",1,16
"201705270917",-2,13
"201705281707",1,16
"201705290518",-3,12
"201705300340",-6,9
"201705300659",1,16
"201706060351",-2,13
"201706180346",-2,13
"201706190527",-5,10
"201707021655",-1,14
"201707031924",-2,13
"201707050414",-2,13
"201707081155",3,18
"201707090415",-1,14
"201707120639",4,19
"201707121320",5,20
"201707121606",3,18
"201707150930",-2,13
"201707151329",3,18
"201707161724",2,17
"201707250516",3,18
"201707291629",-4,11
"201707291635",1,16
"201707310528",-3,12
"201708040326",0,15
"201708051544",1,16
"201708070404",-1,14
"201708140338",2,17
"201708140354",-3,12
"201708270615",10,25
"201708270651",-3,12
"201708300642",-4,11
"201709030439",-2,13
"201709030914",0,15
"201709060347",-1,14
"201709080557",-1,14
"201709130428",1,16
"201709130536",-1,14
"201709131922",4,19
"201709201542",0,15
"201709250444",2,17
"201709271642",-1,14
"201709280455",2,17
"201710050409",-3,12
"201710081351",-1,14
"201710110321",-1,14
"201710110326",-1,14
"201710110331",1,16
"201710110336",-4,11
"201710131802",1,16
"201710160517",-1,14
"201710160554",-2,13
"201710160557",2,17
"201710180338",-1,14
"201710182212",-1,14
"201710190354",1,16
"201710200311",-1,14
"201710200315",-1,14
"201710210452",-1,14
"201710210614",-3,12
"201710211657",2,17
"201710211709",3,18
