"time_id","net_sentiment","normalized_sentiment"
"201607121004",-1,6
"201607260538",-2,5
"201607300553",3,10
"201609060412",-2,5
"201609250530",-1,6
"201609261823",-1,6
"201611061006",-1,6
"201611160517",-1,6
"201612041523",-1,6
"201612041530",-1,6
"201612170657",-1,6
"201612171759",-1,6
"201701021647",1,8
"201701270619",0,7
"201702100635",-2,5
"201702160434",3,10
"201703020400",2,9
"201703150514",0,7
"201703170607",-1,6
"201703301418",1,8
"201703301420",1,8
"201703301516",-1,6
"201704080750",1,8
"201704080751",1,8
"201704110503",-1,6
"201704110559",2,9
"201704120522",-1,6
"201704130608",1,8
"201704210604",1,8
"201704260351",-3,4
"201704281626",-2,5
"201705281707",2,9
"201705290518",-2,5
"201705300340",-1,6
"201705300659",1,8
"201706060351",-1,6
"201706190527",-1,6
"201706210332",-1,6
"201707021655",1,8
"201707031924",-1,6
"201707050414",-1,6
"201707081155",1,8
"201707090415",0,7
"201707120639",2,9
"201707121320",1,8
"201707121606",2,9
"201707150930",-1,6
"201707151329",1,8
"201707161724",1,8
"201707250516",1,8
"201707291629",-2,5
"201707310528",0,7
"201708030508",1,8
"201708040326",1,8
"201708070404",-2,5
"201708140338",1,8
"201708140354",0,7
"201708270615",3,10
"201708270651",-1,6
"201708300642",0,7
"201709030439",-2,5
"201709060347",1,8
"201709080557",1,8
"201709130428",3,10
"201709130536",0,7
"201709131922",1,8
"201709201542",2,9
"201709250444",2,9
"201709271642",1,8
"201709280455",2,9
"201710050409",1,8
"201710081351",1,8
"201710110326",1,8
"201710110331",0,7
"201710110336",0,7
"201710160517",1,8
"201710160557",2,9
"201710190354",1,8
"201710200315",1,8
"201710210614",-1,6
"201710211709",3,10
"201710240513",0,7
"201710240630",-1,6
"201710241520",2,9
"201710250435",1,8
"201710251224",2,9
"201710270409",1,8
"201710290748",1,8
"201710310521",-1,6
"201710311822",-1,6
"201711010759",0,7
"201711010803",1,8
"201711021705",1,8
"201711070337",0,7
"201711071800",2,9
"201711080840",1,8
"201711090658",1,8
"201711091639",-2,5
"201711091644",2,9
"201711091817",1,8
"201711111632",1,8
"201711111716",-1,6
"201711122208",1,8
"201711122220",1,8
"201711122226",2,9
"201711131921",1,8
"201711150935",-2,5
"201711150939",-1,6
"201711151911",-2,5
"201711161316",2,9
"201711161957",2,9
"201711170329",1,8
"201711191622",-2,5
"201711191636",-1,6
"201711191921",-1,6
"201711220325",-3,4
"201711220333",-1,6
"201711220451",1,8
"201711230428",3,10
"201711231618",-3,4
"201711270724",3,10
"201711271948",1,8
"201711282035",1,8
"201711290503",2,9
"201711290740",-1,6
"201711290749",1,8
"201711291134",3,10
"201711291554",2,9
"201711291740",4,11
"201711291809",1,8
"201711300501",0,7
"201711300525",-3,4
"201711300605",3,10
"201712010421",-1,6
"201712011449",1,8
"201712020554",0,7
"201712030615",-5,2
"201712040417",-3,4
"201712040500",-1,6
"201712100630",-1,6
"201712100635",0,7
"201712120723",1,8
"201712140559",-1,6
"201712141005",5,12
"201712161305",1,8
"201712171001",2,9
"201712181340",1,8
"201712182309",0,7
"201712190423",4,11
"201712200732",1,8
"201712200939",4,11
"201712210524",-4,3
"201712210752",0,7
"201712220547",2,9
"201712220804",0,7
"201712220807",1,8
"201712221347",2,9
"201712221511",-1,6
"201712231544",0,7
"201712241335",1,8
"201712260458",-1,6
"201712261517",3,10
"201712280924",0,7
"201712310636",1,8
"201801020649",1,8
"201801031907",3,10
"201801032104",0,7
"201801060457",-1,6
"201801070733",-1,6
"201801071342",2,9
"201801111949",2,9
"201801130613",1,8
"201801130720",-1,6
"201801140650",1,8
"201801171628",2,9
"201801180425",-3,4
"201801191928",1,8
"201801201531",1,8
"201802010443",3,10
"201802021105",2,9
"201802070759",-1,6
"201802111215",0,7
"201802111326",5,12
"201802180533",0,7
"201802180655",2,9
"201802200554",2,9
"201802201049",5,12
"201802271558",2,9
"201803010512",3,10
"201803020350",4,11
"201803020657",2,9
"201803031043",1,8
"201803031053",-2,5
"201803041710",-2,5
"201803050447",0,7
"201803070424",-1,6
"201803070440",-1,6
"201803080538",3,10
"201803091548",0,7
"201803100822",1,8
"201803100915",1,8
"201803101023",3,10
"201803101429",-1,6
"201803120520",1,8
"201803140737",-2,5
"201803141649",2,9
"201803150411",5,12
"201803221140",2,9
"201803261744",2,9
"201804040422",-3,4
"201804050610",-6,1
"201804051312",1,8
"201804060732",1,8
"201804071103",-2,5
"201804080512",-1,6
"201804090303",1,8
"201804101051",3,10
"201804101130",3,10
"201804110338",-1,6
"201804122015",-1,6
"201804170524",2,9
"201804200350",-1,6
"201804250711",-1,6
"201804270450",1,8
"201805020445",-4,3
"201805041731",-1,6
"201805080422",1,8
"201805090424",4,11
"201805130801",0,7
"201805131222",2,9
"201805160609",-2,5
"201805161140",-2,5
"201805171427",0,7
"201805210421",0,7
"201805210440",2,9
"201805230455",0,7
"201805250504",-1,6
"201805251545",-4,3
