"minute_id","time_id","date_time","tweet_text","tweet_id","Bing_Net_Sentiment","Bing_Normalized_Sentiment","Afinn_Net_Sentiment","Afinn_Normalized_Sentiment","ret_1_Min","ret_2_Min","ret_5_Min","ret_10_Min","ret_20_Min","ret_30_Min","ret_60_Min","ret_120_Min","ret_240_Min","ret_360_Min"
201607121004,"201607121004","7/12/2016 17:04","to all the bernie voters who want to stop bad trade deals &amp; global special interests we welcome you with open arms. people first.",99,-1,6,-4,11,-0.000271597,-0.000190594,0.001343689,0.001496164,0.002592081,0.003516463,0.004264545,0.002634965,0.000752847,NA
201607260538,"201607260538","7/26/2016 12:38","why aren't the democrats speaking about isis bad trade deals broken borders police and law and order. the republican convention was great",263,-2,5,-4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201607300553,"201607300553","7/30/2016 12:53","colorado was amazing yesterday! so much support. our tax trade and energy reforms will bring great jobs to colorado and the whole country.",348,3,10,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201608141707,"201608141707","8/15/2016 0:07","stay on message is the chant. i always do - trade jobs military vets 2nd a repeal ocare borders etc - but media misrepresents!",547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201609060412,"201609060412","9/6/2016 11:12","china wouldn't provide a red carpet stairway from air force one and then philippines president calls obama ""the son of a whore."" terrible!",728,-2,5,-7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201609250530,"201609250530","9/25/2016 12:30","many on the team and staff of bernie sanders have been treated badly by the hillary clinton campaign - and they like trump on trade a lot!",877,-1,6,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201609261823,"201609261823","9/27/2016 1:23",".@hillaryclinton channels john kerry on trade: she was for bad trade deals before she was against them. #tpp #debates2016",895,-1,6,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201610220437,"201610220437","10/22/2016 11:37","@aztrumptrain: i #voted for donaldtrump! #arizona ☉ #economy #immigration #jobs #veterans #bordercontrol #trade… https://t.co/0bjk9bwkfw",1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201611061006,"201611061006","11/6/2016 17:06","van jones: ‘there is a crack in the blue wall’ — it has to do with trade: https://t.co/bvef9cc7o7",1507,-1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201611160517,"201611160517","11/16/2016 12:17","i have recieved and taken calls from many foreign leaders despite what the failing @nytimes said. russia u.k. china saudi arabia japan",1557,-1,6,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201612040521,"201612040521","12/4/2016 12:21","these companies are able to move between all 50 states with no tax or tariff being charged. please be forewarned prior to making a very ...",1640,NA,NA,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201612041523,"201612041523","12/4/2016 22:23","did china ask us if it was ok to devalue their currency (making it hard for our companies to compete) heavily tax our products going into..",1644,-1,6,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201612041530,"201612041530","12/4/2016 22:30","their country (the u.s. doesn't tax them) or to build a massive military complex in the middle of the south china sea?  i don't think so!",1645,-1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201612170657,"201612170657","12/17/2016 13:57","china steals united states navy research drone in international waters - rips it out of water and takes it to china in unprecedented act.",1707,-1,6,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201612171759,"201612171759","12/18/2016 0:59","we should tell china that we don't want the drone they stole back.- let them keep it!",1709,-1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201701021647,"201701021647","1/2/2017 23:47","china has been taking out massive amounts of money &amp; wealth from the u.s. in totally one-sided trade but won't help with north korea. nice!",1763,1,8,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201701260651,"201701260651","1/26/2017 13:51","the u.s. has a 60 billion dollar trade deficit with mexico. it has been a one-sided deal from the beginning of nafta with massive numbers...",1925,NA,NA,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201701270619,"201701270619","1/27/2017 13:19","mexico has taken advantage of the u.s. for long enough. massive trade deficits &amp; little help on the very weak border must change now!",1932,0,7,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702032007,"201702032007","2/4/2017 3:07","countries charge u.s. companies taxes or tariffs while the u.s. charges them nothing or little.we should charge them same as they charge us!",1979,NA,NA,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702100635,"201702100635","2/10/2017 13:35","the failing @nytimes does major fake news china story saying ""mr.xi has not spoken to mr. trump since nov.14."" we spoke at length yesterday!",2025,-2,5,-5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201702160434,"201702160434","2/16/2017 11:34","stock market hits new high with longest winning streak in decades. great level of confidence and optimism - even before tax plan rollout!",2064,3,10,8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201703020400,"201703020400","3/2/2017 11:00","since november 8th election day the stock market has posted $3.2 trillion in gains and consumer confidence is at a 15 year high. jobs!",2116,2,9,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201703150514,"201703150514","3/15/2017 12:14","ceo's most optimistic since 2009. it will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!",2175,0,7,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201703170607,"201703170607","3/17/2017 13:07","north korea is behaving very badly. they have been ""playing"" the united states for years. china has done little to help!",2184,-1,6,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201703301418,"201703301418","3/30/2017 21:18","if @repmarkmeadows @jim_jordan and raul_labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",2235,1,8,-1,14,0.000081,0.000343163,0.001644321,0.001925524,0.003121828,0.003550781,0.004260937,NA,NA,NA
201703301420,"201703301420","3/30/2017 21:20","if @repmarkmeadows @jim_jordan and @raul_labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",2236,1,8,-1,14,0.000262117,0.000848306,0.001434495,0.002158891,0.003112043,0.003593385,0.004008006,NA,NA,NA
201703301516,"201703301516","3/30/2017 22:16","the meeting next week with china will be a very difficult one in that we can no longer have massive trade deficits...",2239,-1,6,-1,14,0.000586035,0.001272125,0.001195893,0.002325083,0.002706244,0.003211282,NA,NA,NA,NA
201704080750,"201704080750","4/8/2017 14:50","it was a great honor to have president xi jinping and madame peng liyuan of china as our guests in the united states. tremendous...",2272,1,8,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704080751,"201704080751","4/8/2017 14:51","...goodwill and friendship was formed but only time will tell on trade.",2273,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704110459,"201704110459","4/11/2017 11:59","i explained to the president of china that a trade deal with the u.s. will be far better for them if they solve the north korean problem!",2282,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704110503,"201704110503","4/11/2017 12:03","north korea is looking for trouble. if china decides to help that would be great. if not we will solve the problem without them!  u.s.a.",2283,-1,6,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704110559,"201704110559","4/11/2017 12:59","ron estes is running today for congress in the great state of kansas. a wonderful guy i need his help on healthcare &amp; tax cuts (reform).",2284,2,9,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704120522,"201704120522","4/12/2017 12:22","had a very good call last night with the president of china concerning the menace of north korea.",2287,-1,6,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704130608,"201704130608","4/13/2017 13:08","i have great confidence that china will properly deal with north korea. if they are unable to do so the u.s. with its allies will! u.s.a.",2293,1,8,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704160518,"201704160518","4/16/2017 12:18","why would i call china a currency manipulator when they are working with us on the north korean problem? we will see what happens!",2297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704210604,"201704210604","4/21/2017 13:04","china is very much the economic lifeline to north korea so while nothing is easy if they want to solve the north korean problem they will",2326,1,8,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704260351,"201704260351","4/26/2017 10:51","the u.s. recorded its slowest economic growth in five years (2016). gdp up only 1.6%. trade deficits hurt the economy very badly.",2357,-3,4,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201704281626,"201704281626","4/28/2017 23:26","north korea disrespected the wishes of china &amp; its highly respected president when it launched though unsuccessfully a missile today. bad!",2377,-2,5,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201705120620,"201705120620","5/12/2017 13:20","china just agreed that the u.s. will be allowed to sell beef and other major products into china once again. this is real news!",2452,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201705270916,"201705270916","5/27/2017 16:16","just left the #g7summit. had great meetings on everything especially on trade where....",2496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201705270917,"201705270917","5/27/2017 16:17","....""we push for the removal of all trade-distorting practices....to foster a truly level playing field.""",2497,NA,NA,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201705281707,"201705281707","5/29/2017 0:07","the massive tax cuts/reform that i have submitted is moving along in the process very well actually ahead of schedule. big benefits to all!",2512,2,9,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201705290518,"201705290518","5/29/2017 12:18","north korea has shown great disrespect for their neighbor china by shooting off yet another ballistic missile...but china is trying hard!",2515,-2,5,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201705300340,"201705300340","5/30/2017 10:40","we have a massive trade deficit with germany plus they pay far less than they should on nato &amp; military. very bad for u.s. this will change",2519,-1,6,-6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201705300659,"201705300659","5/30/2017 13:59","the u.s. senate should switch to 51 votes immediately and get healthcare and tax cuts approved fast and easy. dems would do it no doubt!",2521,1,8,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201706060351,"201706060351","6/6/2017 10:51","big meeting today with republican leadership concerning tax cuts and healthcare. we are all pushing hard - must get it right!",2552,-1,6,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201706180346,"201706180346","6/18/2017 10:46","...massive regulation cuts 36 new legislative bills signed great new s.c.justice and infrastructure healthcare and tax cuts in works!",2611,NA,NA,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201706190527,"201706190527","6/19/2017 12:27","the dems want to stop tax cuts good healthcare and border security.their obamacare is dead with 100% increases in p's. vote now for karen h",2615,-1,6,-5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201706201138,"201706201138","6/20/2017 18:38","while i greatly appreciate the efforts of president xi &amp; china to help with north korea it has not worked out. at least i know china tried!",2629,NA,NA,NA,NA,0.000685688,0.000714259,0.000642833,0.001771361,0.001876119,0.00281894,0.003687734,0.002959778,0.001172473,NA
201706210332,"201706210332","6/21/2017 10:32","democrats would do much better as a party if they got together with republicans on healthcaretax cutssecurity. obstruction doesn't work!",2636,-1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201706221515,"201706221515","6/22/2017 22:15","mexico was just ranked the second deadliest country in the world after only syria. drug trade is largely the cause. we will build the wall!",2648,NA,NA,NA,NA,0.0000286,-0.0000999,0.000152271,0.001199132,0.00105162,0.002431573,NA,NA,NA,NA
201706291844,"201706291844","6/30/2017 1:44","just finished a very good meeting with the president of south korea. many subjects discussed including north korea and new trade deal!",2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707021655,"201707021655","7/2/2017 23:55","stock market at all time high unemployment at lowest level in years (wages will start going up) and our base has never been stronger!",2721,1,8,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707031924,"201707031924","7/4/2017 2:24","....and japan will put up with this much longer. perhaps china will put a heavy move on north korea and end this nonsense once and for all!",2732,-1,6,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707050414,"201707050414","7/5/2017 11:14","the united states made some of the worst trade deals in world history.why should we continue these deals with countries that do not help us?",2738,-1,6,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707050421,"201707050421","7/5/2017 11:21","trade between china and north korea grew almost 40% in the first quarter. so much for china working with us - but we had to give it a try!",2739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707081155,"201707081155","7/8/2017 18:55","leaving hamburg for washington d.c. and the wh. just left china’s president xi where we had an excellent meeting on trade &amp; north korea.",2755,1,8,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707090415,"201707090415","7/9/2017 11:15","the g 20 summit was a great success for the u.s. - explained that the u.s. must fix the many bad trade deals it has made. will get done!",2757,0,7,-1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707120639,"201707120639","7/12/2017 13:39","the w.h. is functioning perfectly focused on healthcare tax cuts/reform &amp; many other things. i have very little time for watching t.v.",2782,2,9,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707121320,"201707121320","7/12/2017 20:20","after 14 years u.s. beef hits chinese market. trade deal an exciting opportunity for agriculture. https://t.co/gdggejqfms",2783,1,8,5,20,-0.000128475,-0.000104683,0.000280741,0.000918357,0.00085174,0.002088905,0.003166546,0.002964304,NA,NA
201707121606,"201707121606","7/12/2017 23:06","stock market hits another high with spirit and enthusiasm so positive. jobs outlook looking very good! #maga🇺🇸 https://t.co/vwxsb2vwge",2785,2,9,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707140647,"201707140647","7/14/2017 13:47","great conversations with president @emmanuelmacron and his representatives on trade military and security.",2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707150921,"201707150921","7/15/2017 16:21","stock market at new all-time high! working on new trade deals that will be great for u.s. and its workers!",2805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707150930,"201707150930","7/15/2017 16:30","stock market hit another all-time high yesterday - despite the russian hoax story! also jobs numbers are starting to look very good!",2806,-1,6,-2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707151329,"201707151329","7/15/2017 20:29","just got to the #uswomensopen in bedminster new jersey. people are really happy with record high stock market - up over 17% since election!",2810,1,8,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201707161724,"201707161724","7/17/2017 0:24","heading back to washington d.c. much will be accomplished this week on trade the military and security!",2820,1,8,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
