"time_id","date_time","tweet_text","tweet_id"
"201812310629","12/31/2018 13:29","i campaigned on border security which you cannot have without a strong and powerful wall. our southern border has long been an “open wound” where drugs criminals (including human traffickers) and illegals would pour into our country. dems should get back here an fix now!",8
"201812310619","12/31/2018 13:19",".....except the results are far better than i ever said they were going to be! i campaigned against the never ending wars remember!",9
"201812310612","12/31/2018 13:12","...i campaigned on getting out of syria and other places. now when i start getting out the fake news media or some failed generals who were unable to do the job before i arrived like to complain about me &amp; my tactics which are working. just doing what i said i was going to do!",10
"201812291406","12/29/2018 21:06","2018 is being called “the year of the worker” by steve moore co-author of “trumponomics.” it was indeed a great year for the american worker with the “best job market in 50 years and the lowest unemployment rate ever for blacks and hispanics and all workers. big wage gains.”",18
"201812291225","12/29/2018 19:25","for those that naively ask why didn’t the republicans get approval to build the wall over the last year it is because in the senate we need 10 democrat votes and they will gives us “none” for border security! now we have to do it the hard way with a shutdown. too bad! @foxnews",19
"201812271339","12/27/2018 20:39","“border patrol agents want the wall.” democrat’s say they don’t want the wall (even though they know it is really needed) and they don’t want ice. they don’t have much to campaign on do they? an open southern border and the large scale crime that comes with such stupidity!",36
"201812240731","12/24/2018 14:31","virtually every democrat we are dealing with today strongly supported a border wall or fence. it was only when i made it an important part of my campaign because people and drugs were pouring into our country unchecked that they turned against it. desperately needed!",56
"201812222126","12/24/2018 4:26","“the president has been remarkable. i do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is.” thank you to tammy bruce and steve hilton. presidential harassment has been with me from the beginning!",58
"201812232032","12/24/2018 3:32","“it should not be the job of america to replace regimes around the world. this is what president trump recognized in iraq that it was the biggest foreign policy disaster of the last several decades and he’s right...the generals still don’t get the mistake.”  @randpaul",61
"201812230946","12/23/2018 16:46","i am pleased to announce that our very talented deputy secretary of defense patrick shanahan will assume the title of acting secretary of defense starting january 1 2019. patrick has a long list of accomplishments while serving as deputy &amp; previously boeing. he will be great!",68
"201812201314","12/20/2018 20:14","farm bill signing in 15 minutes! #emmys #tbt https://t.co/ktss17xvin",105
"201812200442","12/20/2018 11:42","getting out of syria was no surprise. i’ve been campaigning on it for years and six months ago when i very publicly wanted to do it i agreed to stay longer. russia iran syria &amp; others are the local enemy of isis. we were doing there work. time to come home &amp; rebuild. #maga",113
"201812190805","12/19/2018 15:05","....in any event it goes on and on &amp; the new ag who is now being replaced by yet another ag (who openly campaigned on a get trump agenda) does little else but rant rave &amp; politic against me. will never be treated fairly by these people - a total double standard of “justice.”",118
"201812180526","12/18/2018 12:26","facebook twitter and google are so biased toward the dems it is ridiculous! twitter in fact has made it much more difficult for people to join @realdonaldtrump. they have removed many names &amp; greatly slowed the level and speed of increase. they have acknowledged-done nothing!",135
"201812180441","12/18/2018 11:41","good luck today in court to general michael flynn. will be interesting to see what he has to say despite tremendous pressure being put on him about russian collusion in our great and obviously highly successful political campaign. there was no collusion!",137
"201812170602","12/17/2018 13:02","the deductible which comes with obamacare is so high that it is practically not even useable! hurts families badly. we have a chance working with the democrats to deliver great healthcare! a confirming supreme court decision will lead to great healthcare results for americans!",143
"201812160820","12/16/2018 15:20","judge ken starr former solicitor generel &amp; independent counsel just stated that after two years “there is no evidence or proof of collusion” &amp; further that “there is no evidence that there was a campaign financing violation involving the president.” thank you judge. @foxnews",150
"201812141907","12/15/2018 2:07","as i predicted all along obamacare has been struck down as an unconstitutional disaster! now congress must pass a strong law that provides great healthcare and protects pre-existing conditions. mitch and nancy get it done!",161
"201812131100","12/13/2018 18:00","just did an interview with @harrisfaulkner on @foxnews airing now (1pme.) enjoy!",173
"201812130625","12/13/2018 13:25","....stated that i did nothing wrong with respect to campaign finance laws if they even apply because this was not campaign finance. cohen was guilty on many charges unrelated to me but he plead to two campaign charges which were not criminal and of which he probably was not...",180
"201812130617","12/13/2018 13:17","i never directed michael cohen to break the law. he was a lawyer and he is supposed to know the law. it is called “advice of counsel” and a lawyer has great liability if a mistake is made. that is why they get paid. despite that many campaign finance lawyers have strongly......",181
"201812111155","12/11/2018 18:55","“i don’t care what you think of the president...it cannot bleed over to the fbi...comey is confirming there is bias in the fbi...” -chris swecker",187
"201812101911","12/11/2018 2:11","james comey’s behind closed doors testimony reveals that “there was not evidence of campaign collusion” with russia when he left the fbi. in other words the witch hunt is illegal and should never have been started!",198
"201812100446","12/10/2018 11:46","“democrats can’t find a smocking gun tying the trump campaign to russia after james comey’s testimony. no smocking gun...no collusion.” @foxnews  that’s because there was no collusion. so now the dems go to a simple private transaction wrongly call it a campaign contribution...",200
"201812080719","12/8/2018 14:19","i am pleased to announce my nomination of four-star general mark milley chief of staff of the united states army – as the chairman of the joint chiefs of staff replacing general joe dunford who will be retiring....",212
