Symbol,Name,Sector,Manual,Pipe,Concatenate,Manual Final,,,,
MMM,3M Company,Industrials,3m company,|,3m company|,3m company|,"""","""",",","""3m company"","
AOS,A.O. Smith Corp,Industrials,a.o. smith,|,a.o. smith|,a.o. smith|,"""","""",",","""a.o. smith"","
ABT,Abbott Laboratories,Health Care,abbott lab,|,abbott lab|,abbott lab|,"""","""",",","""abbott lab"","
ABBV,AbbVie Inc.,Health Care,abbvie,|,abbvie|,abbvie|,"""","""",",","""abbvie"","
ACN,Accenture plc,Information Technology,accenture,|,accenture|,accenture|,"""","""",",","""accenture"","
ATVI,Activision Blizzard,Information Technology,activision,|,activision|,activision|,"""","""",",","""activision"","
AYI,Acuity Brands Inc,Industrials,acuity brands,|,acuity brands|,acuity brands|,"""","""",",","""acuity brands"","
ADBE,Adobe Systems Inc,Information Technology,adobe,|,adobe|,adobe|,"""","""",",","""adobe"","
AAP,Advance Auto Parts,Consumer Discretionary,advance auto parts,|,advance auto parts|,advance auto parts|,"""","""",",","""advance auto parts"","
AMD,Advanced Micro Devices Inc,Information Technology,advanced micro devices,|,advanced micro devices|,advanced micro devices|,"""","""",",","""advanced micro devices"","
AES,AES Corp,Utilities,aes corp,|,aes corp|,aes corp|,"""","""",",","""aes corp"","
AET,Aetna Inc,Health Care,aetna,|,aetna|,aetna|,"""","""",",","""aetna"","
AMG,Affiliated Managers Group Inc,Financials,affiliated managers group,|,affiliated managers group|,affiliated managers group|,"""","""",",","""affiliated managers group"","
AFL,AFLAC Inc,Financials,aflac,|,aflac|,aflac|,"""","""",",","""aflac"","
A,Agilent Technologies Inc,Health Care,agilent,|,agilent|,agilent|,"""","""",",","""agilent"","
APD,Air Products & Chemicals Inc,Materials,air products & chemicals,|,air products & chemicals|,air products & chemicals|,"""","""",",","""air products & chemicals"","
AKAM,Akamai Technologies Inc,Information Technology,akamai,|,akamai|,akamai|,"""","""",",","""akamai"","
ALK,Alaska Air Group Inc,Industrials,alaska air,|,alaska air|,alaska air|,"""","""",",","""alaska air"","
ALB,Albemarle Corp,Materials,albermarle,|,albermarle|,albermarle|,"""","""",",","""albermarle"","
ARE,Alexandria Real Estate Equities Inc,Real Estate,alexandria real estate,|,alexandria real estate|,alexandria real estate|,"""","""",",","""alexandria real estate"","
ALXN,Alexion Pharmaceuticals,Health Care,alexion,|,alexion|,alexion|,"""","""",",","""alexion"","
ALGN,Align Technology,Health Care,align technology,|,align technology|,align technology|,"""","""",",","""align technology"","
ALLE,Allegion,Industrials,allegion,|,allegion|,allegion|,"""","""",",","""allegion"","
AGN,"Allergan, Plc",Health Care,allergan,|,allergan|,allergan|,"""","""",",","""allergan"","
ADS,Alliance Data Systems,Information Technology,alliance data,|,alliance data|,alliance data|,"""","""",",","""alliance data"","
LNT,Alliant Energy Corp,Utilities,alliant energy,|,alliant energy|,alliant energy|,"""","""",",","""alliant energy"","
ALL,Allstate Corp,Financials,allstate,|,allstate|,allstate|,"""","""",",","""allstate"","
GOOGL,Alphabet Inc Class A,Information Technology,google,|,google|,google|,"""","""",",","""google"","
GOOG,Alphabet Inc Class C,Information Technology,google,|,google|,google|,"""","""",",","""google"","
MO,Altria Group Inc,Consumer Staples,altria,|,altria|,altria|,"""","""",",","""altria"","
AMZN,Amazon.com Inc.,Consumer Discretionary,amazon,|,amazon|,amazon|,"""","""",",","""amazon"","
AEE,Ameren Corp,Utilities,ameren,|,ameren|,ameren|,"""","""",",","""ameren"","
AAL,American Airlines Group,Industrials,american airlines,|,american airlines|,american airlines|,"""","""",",","""american airlines"","
AEP,American Electric Power,Utilities,american electric power,|,american electric power|,american electric power|,"""","""",",","""american electric power"","
AXP,American Express Co,Financials,american express,|,american express|,american express|,"""","""",",","""american express"","
AXP,American Express Co,Financials,amex,|,amex|,amex|,"""","""",",","""amex"","
AIG,"American International Group, Inc.",Financials,aig,|,aig|,aig|,"""","""",",","""aig"","
AMT,American Tower Corp A,Real Estate,american tower,|,american tower|,american tower|,"""","""",",","""american tower"","
AWK,American Water Works Company Inc,Utilities,american water,|,american water|,american water|,"""","""",",","""american water"","
AMP,Ameriprise Financial,Financials,ameriprise financial,|,ameriprise financial|,ameriprise financial|,"""","""",",","""ameriprise financial"","
ABC,AmerisourceBergen Corp,Health Care,abc,|,abc|,abc|,"""","""",",","""abc"","
AME,AMETEK Inc.,Industrials,ametek,|,ametek|,ametek|,"""","""",",","""ametek"","
AMGN,Amgen Inc.,Health Care,amgen,|,amgen|,amgen|,"""","""",",","""amgen"","
APH,Amphenol Corp,Information Technology,amphenol,|,amphenol|,amphenol|,"""","""",",","""amphenol"","
APC,Anadarko Petroleum Corp,Energy,anadarko petroleum,|,anadarko petroleum|,anadarko petroleum|,"""","""",",","""anadarko petroleum"","
ADI,"Analog Devices, Inc.",Information Technology,analog devices,|,analog devices|,analog devices|,"""","""",",","""analog devices"","
ANDV,Andeavor,Energy,andeavor,|,andeavor|,andeavor|,"""","""",",","""andeavor"","
ANSS,ANSYS,Information Technology,ansys,|,ansys|,ansys|,"""","""",",","""ansys"","
ANTM,Anthem Inc.,Health Care,anthem,|,anthem|,anthem|,"""","""",",","""anthem"","
AON,Aon plc,Financials,aon,|,aon|,aon|,"""","""",",","""aon"","
APA,Apache Corporation,Energy,apache corporation,|,apache corporation|,apache corporation|,"""","""",",","""apache corporation"","
AIV,Apartment Investment & Management,Real Estate,aiv,|,aiv|,aiv|,"""","""",",","""aiv"","
AAPL,Apple Inc.,Information Technology,apple,|,apple|,apple|,"""","""",",","""apple"","
AMAT,Applied Materials Inc.,Information Technology,applied materials,|,applied materials|,applied materials|,"""","""",",","""applied materials"","
APTV,Aptiv Plc,Consumer Discretionary,aptiv,|,aptiv|,aptiv|,"""","""",",","""aptiv"","
ADM,Archer-Daniels-Midland Co,Consumer Staples,archer daniels,|,archer daniels|,archer daniels|,"""","""",",","""archer daniels"","
ARNC,Arconic Inc.,Industrials,arconic inc,|,arconic inc|,arconic inc|,"""","""",",","""arconic inc"","
AJG,Arthur J. Gallagher & Co.,Financials,arthur j. gallagher,|,arthur j. gallagher|,arthur j. gallagher|,"""","""",",","""arthur j. gallagher"","
AIZ,Assurant Inc.,Financials,assurant inc,|,assurant inc|,assurant inc|,"""","""",",","""assurant inc"","
T,AT&T Inc.,Telecommunication Services,at&t,|,at&t|,at&t|,"""","""",",","""at&t"","
ADSK,Autodesk Inc.,Information Technology,autodesk,|,autodesk|,autodesk|,"""","""",",","""autodesk"","
ADP,Automatic Data Processing,Information Technology,adp,|,adp|,adp|,"""","""",",","""adp"","
AZO,AutoZone Inc,Consumer Discretionary,autozone,|,autozone|,autozone|,"""","""",",","""autozone"","
AVB,"AvalonBay Communities, Inc.",Real Estate,avalon bay,|,avalon bay|,avalon bay|,"""","""",",","""avalon bay"","
AVY,Avery Dennison Corp,Materials,avery dennison,|,avery dennison|,avery dennison|,"""","""",",","""avery dennison"","
BHGE,"Baker Hughes, a GE Company",Energy,baker hughes,|,baker hughes|,baker hughes|,"""","""",",","""baker hughes"","
BLL,Ball Corp,Materials,ball corp,|,ball corp|,ball corp|,"""","""",",","""ball corp"","
BAC,Bank of America Corp,Financials,bank of america,|,bank of america|,bank of america|,"""","""",",","""bank of america"","
